label,bitdepth,alpha,mean_entropy,std_entropy,mean_max_prob,blank_argmax_ratio
a=0.0,3,0.0,0.082346,0.230433,0.972384,0.835681
a=0.1,3,0.1,0.041428,0.169488,0.986125,0.835876
a=0.2,3,0.2,0.039499,0.159321,0.987951,0.846831
a=0.3,3,0.3,0.046446,0.171750,0.984075,0.837441
a=0.4,3,0.4,0.040905,0.160660,0.986087,0.838811
a=0.5,3,0.5,0.035849,0.145666,0.986901,0.828247
a=0.6,3,0.6,0.052907,0.180410,0.981021,0.831377
a=0.7,3,0.7,0.039305,0.154209,0.986352,0.831182
a=0.8,3,0.8,0.039327,0.154641,0.986564,0.834703
a=0.9,3,0.9,0.061889,0.215503,0.979384,0.840962
a=1.0,3,1.0,0.077976,0.250666,0.973428,0.837441
