variant,label,bitdepth,alpha,mean_entropy,std_entropy,mean_max_prob,blank_argmax_ratio
standard,a=0.0,3,0.0,0.206314,0.381701,0.931447,0.818858
standard,a=0.1,3,0.1,0.255044,0.497132,0.924323,0.875978
standard,a=0.2,3,0.2,0.699604,0.680063,0.769217,0.540102
standard,a=0.3,3,0.3,0.498196,0.558457,0.826613,0.629499
standard,a=0.4,3,0.4,0.178869,0.350604,0.937571,0.860720
standard,a=0.5,3,0.5,0.629723,0.675373,0.787387,0.521518
standard,a=0.6,3,0.6,0.241257,0.436817,0.921603,0.860915
standard,a=0.7,3,0.7,0.411900,0.550429,0.857994,0.756651
standard,a=0.8,3,0.8,0.391781,0.562938,0.872523,0.787363
standard,a=0.9,3,0.9,0.491365,0.577000,0.832112,0.678599
standard,a=1.0,3,1.0,0.302022,0.558328,0.900552,0.807707
mu-law,a=0.0,3,0.0,0.044058,0.158128,0.983252,0.799491
mu-law,a=0.1,3,0.1,0.040477,0.152063,0.984863,0.810250
mu-law,a=0.2,3,0.2,0.040598,0.144397,0.984349,0.797144
mu-law,a=0.3,3,0.3,0.048281,0.162855,0.982113,0.797535
mu-law,a=0.4,3,0.4,0.043854,0.161701,0.983597,0.806925
mu-law,a=0.5,3,0.5,0.041058,0.145409,0.984037,0.783451
mu-law,a=0.6,3,0.6,0.038983,0.139128,0.985456,0.811033
mu-law,a=0.7,3,0.7,0.036577,0.142128,0.986516,0.814945
mu-law,a=0.8,3,0.8,0.043671,0.156633,0.983517,0.805751
mu-law,a=0.9,3,0.9,0.036210,0.143980,0.986646,0.799491
mu-law,a=1.0,3,1.0,0.037110,0.143076,0.985582,0.806925
