epoch,wer,cer
1,1.0,0.8822450192511434
2,0.9817653541729285,0.817359621695651
3,0.9643322312393547,0.774464456445903
4,0.9257589419897806,0.6987260652730045
5,0.8059312694118825,0.5685418227861185
6,0.7050395751928664,0.5010723791312437
7,0.6094579701432722,0.42187136618517274
8,0.565975353171025,0.3977880565389287
9,0.5128744614768059,0.3563916380268224
10,0.48662458671475806,0.3304736556500168
11,0.4670874661857529,0.32357425256466577
12,0.4382326420198377,0.2941936484146877
13,0.4342250275523495,0.28974908912374997
14,0.41268409978960024,0.2762862089459676
15,0.39825668770664263,0.2702653815344066
16,0.39525097685602645,0.26700948344918474
17,0.3876365093677988,0.26388278766893203
18,0.3881374611762348,0.26339181891004937
19,0.3855325117723675,0.26049768727874106
20,0.3853321310489931,0.2610144964986175
